id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
MESH:D018268	Adrenocortical Carcinoma	Adrenocortical Carcinomas | Carcinomas, Adrenocortical | Carcinoma, Adrenal Cortical | Adrenal Cortical Carcinoma | Adrenal Cortical Carcinomas | Carcinomas, Adrenal Cortical | Carcinoma, Adrenocortical										D018268
MESH:D018269	Carcinoma, Endometrioid	Carcinomas, Endometrioid | Endometrioid Carcinoma | Endometrioid Carcinomas										D018269
MESH:D018270	Carcinoma, Ductal, Breast	Carcinoma, Infiltrating Duct | Carcinomas, Infiltrating Duct | Carcinoma, Invasive Ductal, Breast | Invasive Ductal Carcinoma, Breast										D018270
MESH:D018273	Carcinoma, Islet Cell	Carcinomas, Islet Cell | Islet Cell Carcinoma | Islet Cell Carcinomas | Islet Cell Tumor, Malignant										D018273
MESH:D018275	Carcinoma, Lobular	Carcinomas, Lobular | Lobular Carcinoma | Lobular Carcinomas										D018275
MESH:D018276	Carcinoma, Medullary	Carcinomas, Medullary | Medullary Carcinoma | Medullary Carcinomas										D018276
MESH:D018277	Carcinoma, Mucoepidermoid	Carcinomas, Mucoepidermoid | Mucoepidermoid Carcinoma | Mucoepidermoid Carcinomas										D018277
MESH:D018278	Carcinoma, Neuroendocrine	Carcinomas, Neuroendocrine | Neuroendocrine Carcinoma | Neuroendocrine Carcinomas										D018278
MESH:D018279	Carcinoma, Signet Ring Cell	Signet Ring Cell Carcinoma										D018279
MESH:D018280	Carcinoma, Skin Appendage	Appendage Carcinoma, Skin | Appendage Carcinomas, Skin | Carcinomas, Skin Appendage | Skin Appendage Carcinoma | Skin Appendage Carcinomas										D018280
MESH:D018281	Cholangiocarcinoma	Cholangiocarcinomas | Cholangiocellular Carcinoma | Carcinoma, Cholangiocellular | Carcinomas, Cholangiocellular | Cholangiocellular Carcinomas										D018281
MESH:D018282	Cystadenocarcinoma, Mucinous	Cystadenocarcinomas, Mucinous | Mucinous Cystadenocarcinoma | Mucinous Cystadenocarcinomas										D018282
MESH:D018283	Cystadenocarcinoma, Papillary	Cystadenocarcinomas, Papillary | Papillary Cystadenocarcinoma | Papillary Cystadenocarcinomas										D018283
MESH:D018284	Cystadenocarcinoma, Serous	Cystadenocarcinomas, Serous | Serous Cystadenocarcinoma | Serous Cystadenocarcinomas										D018284
MESH:D018285	Klatskin Tumor	Tumor, Klatskin | Hilar Cholangiocarcinoma | Cholangiocarcinoma, Hilar | Cholangiocarcinomas, Hilar | Hilar Cholangiocarcinomas | Klatskin's Tumor | Klatskins Tumor | Tumor, Klatskin's | Perihilar Cholangiocarcinoma | Cholangiocarcinoma, Perihilar | Cholangiocarcinomas, Perihilar | Perihilar Cholangiocarcinomas										D018285
MESH:D018286	Carcinoma, Giant Cell	Carcinomas, Giant Cell | Cell Carcinoma, Giant | Cell Carcinomas, Giant | Giant Cell Carcinoma | Giant Cell Carcinomas										D018286
MESH:D018287	Carcinoma, Large Cell	Carcinomas, Large Cell | Cell Carcinoma, Large | Cell Carcinomas, Large | Large Cell Carcinoma | Large Cell Carcinomas										D018287
MESH:D018288	Carcinoma, Small Cell	Carcinomas, Small Cell | Small Cell Carcinomas | Carcinoma, Oat Cell | Carcinomas, Oat Cell | Oat Cell Carcinomas | Oat Cell Carcinoma | Small Cell Carcinoma										D018288
MESH:D018289	Carcinoma, Verrucous	Carcinomas, Verrucous | Verrucous Carcinoma | Verrucous Carcinomas										D018289
MESH:D018291	Cystadenoma, Mucinous	Cystadenomas, Mucinous | Mucinous Cystadenoma | Mucinous Cystadenomas										D018291
MESH:D018292	Cystadenoma, Papillary	Cystadenomas, Papillary | Papillary Cystadenoma | Papillary Cystadenomas										D018292
MESH:D018293	Cystadenoma, Serous	Cystadenomas, Serous | Serous Cystadenoma | Serous Cystadenomas										D018293
MESH:D018294	Neoplasms, Adnexal and Skin Appendage	Adnexal and Skin Appendage Neoplasms										D018294
MESH:D018295	Neoplasms, Basal Cell	Basal Cell Neoplasms | Basal Cell Neoplasm | Cell Neoplasm, Basal | Cell Neoplasms, Basal | Neoplasm, Basal Cell										D018295
MESH:D018296	Pilomatrixoma	Benign Pilomatricoma | Pilomatricoma, Benign | Benign Pilomatrixoma | Pilomatrixoma, Benign | Calcifying Epithelioma of Malherbe | Epithelioma Calcificans Of Malherbe | Malherbe Calcifying Epithelioma | Pilomatricoma										D018296
MESH:D018297	Neoplasms, Cystic, Mucinous, and Serous	Cystic, Mucinous, and Serous Neoplasms										D018297
MESH:D018298	Mucoepidermoid Tumor	Mucoepidermoid Tumors | Tumor, Mucoepidermoid | Tumors, Mucoepidermoid										D018298
MESH:D018299	Neoplasms, Ductal, Lobular, and Medullary	Ductal, Lobular, and Medullary Neoplasms										D018299
MESH:D018300	Papilloma, Intraductal	Intraductal Papilloma | Intraductal Papillomas | Papillomas, Intraductal										D018300
MESH:D018301	Neoplasms, Mesothelial	Mesothelial Neoplasms | Mesothelial Neoplasm | Neoplasm, Mesothelial										D018301
MESH:D018302	Neoplasms, Neuroepithelial	Neuroepithelial Neoplasms | Neoplasm, Neuroepithelial | Neuroepithelial Neoplasm | Neuroepithelial Tumors | Neuroepithelial Tumor | Tumor, Neuroepithelial | Tumors, Neuroepithelial										D018302
MESH:D018303	Ganglioglioma	Gangliogliomas										D018303
MESH:D018304	Esthesioneuroblastoma, Olfactory	Esthesioneuroblastomas, Olfactory | Olfactory Esthesioneuroblastoma | Olfactory Esthesioneuroblastomas | Aesthesioneuroblastoma | Aesthesioneuroblastomas | Esthesioneuroblastoma, Paranasal Sinus-Nasal Cavity | Esthesioneuroblastoma, Paranasal Sinus Nasal Cavity | Neuroblastoma, Olfactory | Neuroblastomas, Olfactory | Olfactory Neuroblastomas | Olfactory Neuroblastoma | Paranasal Sinus-Nasal Cavity Esthesioneuroblastoma | Paranasal Sinus Nasal Cavity Esthesioneuroblastoma | Esthesioneuroblastoma | Esthesioneuroblastomas										D018304
MESH:D018305	Ganglioneuroblastoma	Ganglioneuroblastomas										D018305
MESH:D018306	Neurocytoma	Neurocytomas										D018306
MESH:D018307	Neoplasms, Squamous Cell	Squamous Cell Neoplasms | Cell Neoplasm, Squamous | Cell Neoplasms, Squamous | Neoplasm, Squamous Cell | Squamous Cell Neoplasm										D018307
MESH:D018308	Papilloma, Inverted	Inverted Papilloma | Inverted Papillomas | Papillomas, Inverted										D018308
MESH:D018309	Neoplasms, Gonadal Tissue	Gonadal Tissue Neoplasms | Gonadal Tissue Neoplasm | Neoplasm, Gonadal Tissue | Tissue Neoplasm, Gonadal | Tissue Neoplasms, Gonadal										D018309
MESH:D018310	Sertoli-Leydig Cell Tumor	Cell Tumor, Sertoli-Leydig | Sertoli Leydig Cell Tumor | Tumor, Sertoli-Leydig Cell | Androblastoma | Androblastomas | Arrhenoblastoma | Arrhenoblastomas | Sertoli-Leydig Cell Tumors | Cell Tumors, Sertoli-Leydig | Sertoli Leydig Cell Tumors | Tumors, Sertoli-Leydig Cell										D018310
MESH:D018311	Luteoma	Luteomas | Luteinoma										D018311
MESH:D018312	Sex Cord-Gonadal Stromal Tumors	Sex Cord-Stromal Tumor | Sex Cord Stromal Tumor | Sex Cord-Stromal Tumors | Tumor, Sex Cord-Stromal | Tumors, Sex Cord-Stromal										D018312
MESH:D018315	Glioma, Subependymal	Gliomas, Subependymal | Subependymal Gliomas | Subependymal Glioma | Subependymal Astrocytoma | Astrocytomas, Subependymal | Astrocytoma, Subependymal | Subependymal Astrocytomas | Subependymoma | Subependymomas										D018315
MESH:D018316	Gliosarcoma	Gliosarcomas | Glioblastoma with Sarcomatous Component | Sarcomatous Glioma | Glioma, Sarcomatous | Gliomas, Sarcomatous | Sarcomatous Gliomas										D018316
MESH:D018317	Nerve Sheath Neoplasms	Neoplasm, Nerve Sheath | Nerve Sheath Tumor | Sheath Tumor, Nerve | Sheath Tumors, Nerve | Tumor, Nerve Sheath | Tumors, Nerve Sheath | Nerve Sheath Neoplasm | Neoplasms, Nerve Sheath | Nerve Sheath Tumors | Tumors of the Nerve Sheath										D018317
MESH:D018318	Neurofibroma, Plexiform	Neurofibromas, Plexiform | Plexiform Neurofibroma | Plexiform Neurofibromas | Elephantiasis Neuromatosis | Elephantiasis Neuromatoses | Neuromas, Plexiform | Neuroma, Plexiform | Plexiform Neuroma | Plexiform Neuromas | Pachydermatocele | Pachydermatoceles | Tumor Royale										D018318
MESH:D018319	Neurofibrosarcoma	Neurofibrosarcomas | Sarcoma, Neurogenic | Neurogenic Sarcoma | Neurogenic Sarcomas | Sarcomas, Neurogenic										D018319
MESH:D018321	Neurothekeoma	Neurothekeomas | Neurotheceoma | Neurotheceomas | Neurothecoma | Neurothecomas | Myxoma, Nerve Sheath | Myxomas, Nerve Sheath | Nerve Sheath Myxoma | Nerve Sheath Myxomas										D018321
MESH:D018322	Angiofibroma	Angiofibromas										D018322
MESH:D018323	Hemangioendothelioma, Epithelioid	Epithelioid Hemangioendothelioma | Epithelioid Hemangioendotheliomas | Hemangioendotheliomas, Epithelioid										D018323
MESH:D018324	Hemangioma, Capillary	Capillary Hemangioma | Capillary Hemangiomas | Hemangiomas, Capillary										D018324
MESH:D018325	Hemangioblastoma	Hemangioblastomas										D018325
MESH:D018326	Nevi and Melanomas	Melanomas and Nevi										D018326
MESH:D018327	Hutchinson's Melanotic Freckle	Freckle, Hutchinson's Melanotic | Hutchinson Melanotic Freckle | Hutchinsons Melanotic Freckle | Melanotic Freckle, Hutchinson's | Freckle, Melanotic | Freckles, Melanotic | Melanotic Freckles | Lentigo Maligna | Lentigo, Malignant | Lentigos, Malignant | Malignant Lentigo | Malignant Lentigos | Melanotic Freckle										D018327
MESH:D018328	Melanoma, Amelanotic	Amelanotic Melanoma | Amelanotic Melanomas | Melanomas, Amelanotic										D018328
MESH:D018329	Nevus, Blue	Blue Nevus | Blue Nevi | Nevi, Blue										D018329
MESH:D018330	Nevus, Intradermal	Nevi, Intradermal | Intradermal Nevi | Intradermal Nevus										D018330
MESH:D018331	Nevus, Spindle Cell	Nevi, Spindle Cell | Spindle Cell Nevi | Spindle Cell Nevus										D018331
MESH:D018332	Nevus, Epithelioid and Spindle Cell	Nevus, Spindle Cell and Epithelioid | Spitz Nevus | Nevus, Spitz										D018332
MESH:D018333	Odontogenic Cyst, Calcifying	Calcifying Odontogenic Cyst | Calcifying Odontogenic Cysts | Cyst, Calcifying Odontogenic | Cysts, Calcifying Odontogenic | Odontogenic Cysts, Calcifying										D018333
MESH:D018335	Rhabdoid Tumor	Rhabdoid Tumors | Tumor, Rhabdoid | Tumors, Rhabdoid										D018335
MESH:D018344	T-Lymphocytopenia, Idiopathic CD4-Positive	T Lymphocytopenia, Idiopathic CD4 Positive | CD4-Positive T-Lymphocytopenia, Idiopathic | CD4 Positive T Lymphocytopenia, Idiopathic | Idiopathic CD4-Positive T-Lymphocytopenia | CD4+ T-Lymphocytopenia, Idiopathic | CD4+ T Lymphocytopenia, Idiopathic | Idiopathic CD4+ T-Lymphocytopenia | Idiopathic CD4+ T Lymphocytopenia | T-Lymphocytopenia, Idiopathic CD4+ | T Lymphocytopenia, Idiopathic CD4+ | CD4+ T-Lymphocytopenia | CD4+ T Lymphocytopenia | CD4+ T-Lymphocytopenias | T-Lymphocytopenia, CD4+ | T-Lymphocytopenias, CD4+ | Idiopathic CD4 Positive T-Lymphocytopenia										D018344
MESH:D018347	Hepadnaviridae Infections	Infections, Hepadnaviridae | Hepadnaviridae Infection | Infection, Hepadnaviridae										D018347
MESH:D018352	Coronavirus Infections	Coronavirus Infection | Infection, Coronavirus | Infections, Coronavirus										D018352
MESH:D018353	Rhabdoviridae Infections	Infections, Rhabdoviridae | Infection, Rhabdoviridae | Rhabdoviridae Infection										D018353
MESH:D018354	Alphavirus Infections	Alphavirus Infection | Infection, Alphavirus | Infections, Alphavirus | Alpha Virus Infections | Alpha Virus Infection | Virus Infection, Alpha										D018354
MESH:D018355	Rubivirus Infections	Infections, Rubivirus | Infection, Rubivirus | Rubivirus Infection										D018355
MESH:D018357	Respiratory Syncytial Virus Infections	Respiratory Syncytial Virus Infection | Infections, Respiratory Syncytial Virus | RSV Infection | Infection, RSV | RSV Infections										D018357
MESH:D018358	Neuroendocrine Tumors	Neuroendocrine Tumor | Tumor, Neuroendocrine | Tumors, Neuroendocrine										D018358
MESH:D018365	Neoplasm, Residual	Residual Neoplasms | Minimal Disease, Residual | Residual Minimal Disease | Residual Minimal Diseases | Residual Disease, Minimal | Minimal Residual Diseases | Minimal Residual Disease | Residual Neoplasm										D018365
MESH:D018366	Vasculitis, Leukocytoclastic, Cutaneous	Angiitis, Hypersensitivity | Angiitides, Hypersensitivity | Hypersensitivity Angiitides | Hypersensitivity Angiitis | Hypersensitivity Vasculitis | Hypersensitivity Vasculitides | Vasculitides, Hypersensitivity | Allergic Cutaneous Angiitis | Allergic Cutaneous Angiitides | Angiitides, Allergic Cutaneous | Cutaneous Angiitides, Allergic | Cutaneous Angiitis, Allergic | Angiitis, Allergic Cutaneous | Allergic Cutaneous Vasculitis | Vasculitis, Hypersensitivity | Cutaneous Leukocytoclastic Vasculitis | Cutaneous Leukocytoclastic Vasculitides | Leukocytoclastic Vasculitides, Cutaneous | Leukocytoclastic Vasculitis, Cutaneous | Vasculitides, Cutaneous Leukocytoclastic | Vasculitis, Cutaneous Leukocytoclastic | Cutaneous Leukocytoclastic Angiitis | Angiitides, Cutaneous Leukocytoclastic | Angiitis, Cutaneous Leukocytoclastic | Cutaneous Leukocytoclastic Angiitides | Leukocytoclastic Angiitides, Cutaneous | Leukocytoclastic Angiitis, Cutaneous | Vasculitis, Allergic Cutaneous | Allergic Cutaneous Vasculitides | Cutaneous Vasculitides, Allergic | Cutaneous Vasculitis, Allergic | Vasculitides, Allergic Cutaneous | Cutaneous Allergic Vasculitis | Allergic Vasculitides, Cutaneous | Allergic Vasculitis, Cutaneous | Cutaneous Allergic Vasculitides | Vasculitides, Cutaneous Allergic | Vasculitis, Cutaneous Allergic										D018366
MESH:D018370	Leukocyte-Adhesion Deficiency Syndrome	Leukocyte Adhesion Deficiency Syndrome | Deficiency Syndrome, Leukocyte-Adhesion | Deficiency Syndrome, Leukocyte Adhesion | Leukocyte-Adhesion Deficiency Syndromes										D018370
MESH:D018376	Cardiovascular Abnormalities	Abnormalities, Cardiovascular | Abnormality, Cardiovascular | Cardiovascular Abnormality										D018376
MESH:D018382	Thyroid Hormone Resistance Syndrome	Refetoff Syndrome | Syndrome, Refetoff | Refetoff-DeWind-DeGroot Syndrome | Refetoff DeWind DeGroot Syndrome | Syndrome, Refetoff-DeWind-DeGroot										D018382
MESH:D018404	Isochromosomes	Isochromosome										D018404
MESH:D018409	Foot Injuries	Injuries, Foot | Foot Injury | Injury, Foot										D018409
MESH:D018410	Pneumonia, Bacterial	Bacterial Pneumonia | Bacterial Pneumonias | Pneumonias, Bacterial										D018410
MESH:D018419	Primate Diseases	Disease, Primate | Diseases, Primate | Primate Disease										D018419
MESH:D018420	Ape Diseases	Ape Disease | Disease, Ape | Diseases, Ape | Pongidae Diseases | Disease, Pongidae | Diseases, Pongidae | Pongidae Disease										D018420
MESH:D018424	Cholesteatoma, Middle Ear	Cholesteatomas, Middle Ear | Middle Ear Cholesteatomas | Middle Ear Cholesteatoma | Aural Cholesteatoma | Aural Cholesteatomas | Cholesteatoma, Aural | Cholesteatomas, Aural										D018424
