id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
DOID:5062	phencyclidine abuse	PCP abuse	7071007		5062						C0031391	D010623
DOID:5063	basosquamous carcinoma	Basisquamous cell carcinoma | basosquamous cell carcinoma | Metatypical carcinoma	37304002		5063		C2922				C0007118	D002281
DOID:507	adjustment disorder	adjustment disease | adjustment reaction	17226007		507						C0040701	
DOID:5074	high grade ependymoma	Ependymal neoplasm | ependymal tumors | malignant ependymoma			5074		C6770				C1333407	
DOID:5075	myxopapillary ependymoma		1623000		5075		C3697				C0205769	D004806
DOID:5076	mixed glioma	mixed gliomas | mixed Neuroglial tumor	443937008		5076		C3903				C0259783	D005910
DOID:5077	subependymal giant cell astrocytoma	SEGA	449799008		5077		C3696				C0205768	D001254
DOID:5078	ganglioglioma	adult ganglioglioma | childhood ganglioglioma | CNS ganglioglioma	87191000119100		5078		C27362;C27363;C3788				C0206716;C1332202;C1332969	D018303
DOID:5082	liver cirrhosis	Cirrhosis | cirrhosis of liver	19943007		5082		C2951	K74.60			C0023890	D008103
DOID:5083	iodine hypothyroidism		190279008		5083						C0154159	
DOID:5088	mixed epithelial stromal tumour				5088		C37265				C1334602	
DOID:5090	sternum cancer		126559003		5090		C6730;C8408				C1290244;C1382025	
DOID:5093	thoracic cancer	Thoracic tumor | thorax cancer | thorax neoplasm | tumor of thorax	188361007;255058005		5093		C3406;C3576	C76.1			C0039981;C0153661	D013899
DOID:5099	middle ear cancer	neoplasm of middle ear | tumor of the middle ear	127006003		5099		C4412				C0345617	
DOID:5100	middle ear disease		155260002		5100		C27065				C0271428	
DOID:5101	ear cancer	auricular cancer | malignant ear neoplasm | malignant tumor of ear			5101						C0751094	D004428
DOID:5102	inner ear cancer				5102		C39784				C1512779	
DOID:5104	testicular infarct	infarction of testis | testicular infarction	33793000		5104		C27617				C0392041	
DOID:5112	copper deficiency myelopathy	human swayback	78714004		5112						C0038981	D013540
DOID:5113	nutritional deficiency disease				5113						C0011156	D003677
DOID:5117	dermoid cyst of ovary	Dermoid cyst | Ovarian Dermoid Cyst	189116006		5117		C3856				C0237020	C562731
DOID:5118	ovarian cystic teratoma				5118		C7283				C1335155	
DOID:5119	ovarian cyst		198586000		5119			N83.2			C0029513	
DOID:512	epididymal neoplasm	neoplasm of epididymis	126902008		512		C39958				C0346239	
DOID:5123	mediastinum leiomyoma	leiomyoma of mediastinum			5123		C6598				C1334659	
DOID:5124	fallopian tube leiomyoma				5124		C40127				C1517115	
DOID:5125	extrahepatic bile duct leiomyoma	leiomyoma of the extrahepatic bile duct			5125		C5855				C1333507	
DOID:5126	central nervous system leiomyoma	leiomyoma of CNS			5126		C6998				C1334382	
DOID:5127	bizarre leiomyoma	Atypical leiomyoma | Pleomorphic leiomyoma | Symplastic leiomyoma	48897006		5127		C4257				C0334478	
DOID:5128	deep leiomyoma				5128		C6512				C1333266	
DOID:5129	simple partial epilepsy				5129						C0154712	
DOID:5132	leiomyoma cutis	Cutaneous leiomyoma | leiomyoma of the skin	254767008		5132		C4482				C0346064	
DOID:5134	anus leiomyoma	leiomyoma of anus			5134		C5608				C1332266	
DOID:5136	lung leiomyoma	pulmonary leiomyoma	707374005		5136		C5660				C1334447	
DOID:5137	pericardium leiomyoma	leiomyoma of Pericardium			5137		C6743				C1335380	
DOID:5138	leiomyomatosis		1157154004		5138		C3748				C0206654	D018231
DOID:5139	cellular leiomyoma		754555501000119102		5139		C4256				C0334477	
DOID:5140	gallbladder leiomyoma	leiomyoma of the gallbladder			5140		C5747				C1333745	
DOID:5142	vulvar leiomyoma				5142		C40326				C1520087	
DOID:5143	large bowel leiomyoma	leiomyoma of large Intestine	1196826007		5143		C5677				C1333113	
DOID:5146	appendix leiomyoma	Appendiceal leiomyoma	1196825006		5146		C5514				C1332327	
DOID:5147	dartoic leiomyoma	Dartoic myoma	254770007		5147		C4483				C0346066	
DOID:5149	epithelioid neurofibroma		404032008		5149		C6558				C1275264	
DOID:5150	neurofibroma of gallbladder	Neurofibroma of the gallbladder			5150		C5746				C1333751	
DOID:5151	plexiform neurofibroma		41252002		5151		C3797				C0206728	D018318
DOID:5152	cellular neurofibroma		1290951002		5152		C41427				C1516371	
DOID:5153	atypical neurofibroma		734083001		5153						C1510961	
DOID:5154	borna disease	Enzootic encephalomyelitis	76851008		5154						C0006023	D001890
DOID:5155	multiple mucosal neuroma				5155		C6559				C0878627	
DOID:5157	benign pleural mesothelioma	Mesothelioma of Pleura			5157						C1377913	
DOID:5158	pleural cancer	neoplasm of pleura | Pleural tumor	126719004;363433009		5158		C3332;C3547	C38.4			C0032229;C0153494	D010997
DOID:5160	arteriosclerosis obliterans		60625000		5160						C0003851	D001162
DOID:5161	Monckeberg arteriosclerosis				5161							
DOID:5162	arteriolosclerosis		17941002		5162		C35543	I70			C0878486	D050379
DOID:5165	uterine corpus sarcoma	sarcoma of Corpus Uteri | sarcoma of uterus	254877001		5165		C6339				C0338113	
DOID:5166	endometrial stromal tumor	endometrial Stromal neoplasm	68738004		5166						C0334695	D036821
DOID:5169	ovarian endometrioid stromal sarcoma				5169		C40065				C4288544	
DOID:5170	vaginal endometrial stromal sarcoma				5170		C40270				C3642329	
DOID:5171	vaginal endometrial stromal tumor				5171		C40269				C4289585	
DOID:5172	endometrium carcinoma in situ	carcinoma in situ of endometrium | endometrial carcinoma in situ	189343006		5172			D07.0			C0346191	
DOID:5176	renal Wilms' tumor	Nonanaplastic renal Wilm's tumor | Nonanaplastic renal Wilm's tumour | renal Wilms' tumour			5176		C6951				C1335062	
DOID:5178	metachronous kidney Wilms' tumor				5178		C38158				C1334705	
DOID:5179	mixed cell type kidney Wilms' tumor	mixed cell type kidney Wilms' tumour | mixed cell type renal Wilms tumor | mixed cell type renal Wilms tumour			5179		C9149				C0279611	
DOID:518	scrotum neoplasm	malignant Scrotal neoplasm | malignant tumor of scrotum | malignant tumour of scrotum | neoplasm of scrotum | Scrotal Ca | Scrotal tumor | scrotum cancer	126905005;93999006		518		C3560;C4380	C63.2			C0153604;C0341790	
DOID:5182	blastema predominant kidney Wilms' tumor	blastema predominant kidney adenosarcoma | blastema predominant kidney Wilms' tumour | Blastema Predominant renal Wilms tumor | Blastema Predominant renal Wilms tumour			5182		C9147				C0279609	
DOID:5183	hereditary Wilms' tumor	Hereditary Wilms tumor | Hereditary Wilms tumour | hereditary Wilms' tumour | WT1			5183		C8496				C0677779	
DOID:5189	epithelial predominant Wilms' tumor	epithelial predominant kidney adenosarcoma | epithelial Predominant renal Wilms tumor | epithelial Predominant renal Wilms tumour | epithelial predominant Wilms' tumour			5189		C9146				C0279608	
DOID:519	aortitis		195368003		519		C97085	I77.6			C0003509	D001025
DOID:5190	cervical Wilms' tumor				5190		C40236				C1516437	
DOID:5191	stromal predominant kidney Wilms' tumor	stromal predominant kidney Wilms' tumour | Stromal Predominant renal Wilms tumor | Stromal Predominant renal Wilms tumour			5191		C9148				C0279610	
