id	label	synonyms	umls
NCIT:C102870	Ovarian Non-Dysgerminomatous Germ Cell Tumor	Ovarian nondysgerm. GCT, NOS | Ovarian Nondysgerminomatous Germ Cell Tumor | Ovarian nondysgerminomatous germ cell tumor, NOS	C3640983
NCIT:C102871	Primary Central Nervous System Neoplasm	CNS primary tumor, NOS	C0751620
NCIT:C102872	Pharyngeal Squamous Cell Carcinoma	Pharyngeal (including Hypopharyngeal and Oropharyngeal) squamous cell carcinoma | Pharyngeal squam. cell carcinoma | Pharyngeal Throat Squamous Cell Cancer	
NCIT:C102883	Miscellaneous Neoplasm	Miscellaneous neoplasm, NOS | Miscellaneous Tumors	C3540828
NCIT:C102884	Human Papillomavirus-Related Malignant Neoplasm in AIDS Patient	AIDS-related HPV-related cancer | AIDS-related HPV-related cancer, NOS	C3640997
NCIT:C102897	High Grade Astrocytic Tumor	High Grade Astrocytic Neoplasm | High-Grade Astrocytic Neoplasm | High-Grade Astrocytic Tumor	C3640999
NCIT:C102954	Systemic Arterial Hypertensive Disorder	Hypertensive Disorder, Systemic Arterial	C3541293
NCIT:C102977	Meconium Peritonitis		C0270250
NCIT:C102979	Congenital Hydronephrosis		C0266316
NCIT:C103144	Perlman Syndrome	Renal Hamartomas, Nephroblastomatosis and Fetal Gigantism	C0796113
NCIT:C103170	Postnatal Drug Withdrawal		C3641105
NCIT:C103172	Congenital Bleeding Disorder	Congenital Bleeding Defect | Congenital Coagulation Defect	C3641106
NCIT:C103183	In Utero Drug Withdrawal	In-utero Drug Withdrawal	C3641116
NCIT:C103184	Genu Recurvatum	Hyperextension Deformity of Knee | Hyperextension of Knee Deformity	C3808295
NCIT:C103185	Congenital Reproductive System Abnormality	Congenital Abnormality of the Reproductive System	C3641117
NCIT:C103186	Sexual Differentiation Disorder	CARD | Conditions Affecting Reproductive Development | Differences of Sex Development | Disorder of Sexual Differentiation | Disorders of Sex Development | DSD | Intersex | Intersex Conditions	C2930619
NCIT:C103189	Acquired Phrenic Nerve Palsy		C3641119
NCIT:C103226	Pulmonary Trunk Hypoplasia		C0345017
NCIT:C103233	Cystic Fibrosis with Meconium Ileus		C0546982
NCIT:C103236	Fetal Neurodevelopmental Disorder		C3641147
NCIT:C103266	Congenital Aortic Arch Hypoplasia	Congenital Hypoplasia Aortic Arch | Congenital Hypoplasia of Aortic Arch	C0265881
NCIT:C103296	AIDS-Related Human Papillomavirus Infection	AIDS-Related HPV Infection | AIDS-related HPV infections | AIDS-Related Human Papilloma Virus Infection	C3641182
NCIT:C103391	Experimental Organism Benign Basalioma	Basalioma | BASALIOMA, BENIGN	C3543413
NCIT:C103392	Experimental Organism Benign Bone Osteofibroma		C3641241
NCIT:C103393	Experimental Organism Malignant Hepatocholangiocellular Carcinoma	CARCINOMA, HEPATOCHOLANGIOCELLULAR, MALIGNANT | Hepatocholangiocellular Carcinoma	C3641242
NCIT:C103394	Experimental Organism Malignant Hibernoma	HIBERNOMA, MALIGNANT | Malignant Hibernoma	C3641243
NCIT:C103817	Hereditary Prostate Carcinoma	Hereditary Prostate Cancer	C2931456
NCIT:C103917	Right Aortic Arch		C2677367
NCIT:C103918	Microcystic Renal Disease		C0266312
NCIT:C103920	Hemoglobin Barts	Bart's Hemoglobinopathy | Hemoglobin Bart's Hydrops	C3539063
NCIT:C103921	Lissencephaly		C4014043
NCIT:C103922	Congenital Hydroureter		C0266323
