id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
ORPHA:263775	Partial duplication of the short arm of chromosome X syndrome	Partial duplication of chromosome Xp | Partial trisomy of  chromosome Xp | Partial trisomy of the short arm of chromosome X							263775		C5679686	
ORPHA:263768	Partial duplication of chromosome X syndrome	Partial trisomy of chromosome X							263768		C5679687	
ORPHA:3057	Monoamine oxidase A deficiency	Brunner syndrome							3057	300615	C0796275	C563156
ORPHA:775	OBSOLETE: X-linked intellectual disability, Martinez type								775			
ORPHA:3055	X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome	Young-Hughes syndrome							3055		C0796264	C536715
ORPHA:263756	Partial deletion of the long arm of chromosome X syndrome	Partial deletion of chromosome Xq | Partial monosomy of chromosome Xq | Partial monosomy of the long arm of chromosome X							263756		C5679688	
ORPHA:263749	X and Y chromosomal anomaly syndrome								263749		C5680725	
ORPHA:263746	Y chromosome number anomaly syndrome								263746		C4736189	
ORPHA:3050	OBSOLETE: Intellectual disability-hypotonia-skin hyperpigmentation syndrome	OBSOLETE: Medrano-Roldan syndrome							3050			
ORPHA:3052	X-linked intellectual disability-seizures-psoriasis syndrome	Tranebjaerg-Svejgaard syndrome							3052	309480	C2931381	C536978
ORPHA:263731	Partial deletion of the short arm of the chromosome X syndrome	Partial deletion of chromosome Xp | Partial deletion of the short arm of chromosome X | Partial monosomy of chromosome Xp | Partial monosomy of the short arm of chromosome X							263731		C5679689	
ORPHA:3046	OBSOLETE: Intellectual disability-unusual facies, Davis-Lafer type	OBSOLETE: Davis-Lafer syndrome							3046			
ORPHA:263726	Partial deletion of chromosome X syndrome	Partial monosomy of chromosome X							263726		C5679690	
ORPHA:3047	Blepharophimosis-intellectual disability syndrome, SBBYS type	Hypothyroidism-dysmorphism-postaxial polydactyly-intellectual disability syndrome | SBBYS variant of Ohdo syndrome | SBBYSS | Say-Barber-Biesecker-Young-Simpson syndrome							3047	603736	C1863557	C536717
ORPHA:263723	Polysomy of X chromosome syndrome								263723		C5680726	
ORPHA:3043	OBSOLETE: Intellectual disability-unusual facies syndrome	OBSOLETE: Morillo Cucci-Passarge syndrome							3043			
ORPHA:263720	X chromosome number anomaly with male phenotype syndrome								263720		C5680727	
ORPHA:3044	Intellectual disability-dysmorphism-hypogonadism-diabetes mellitus syndrome								3044	249599	C1855303	C537447
ORPHA:263714	X chromosome number anomaly syndrome								263714		C4736187	
ORPHA:3042	Intellectual disability-cataracts-calcified pinnae-myopathy syndrome	Primrose syndrome							3042	259050	C0796121	C536420
ORPHA:263717	X chromosome number anomaly with female phenotype syndrome								263717		C5680728	
ORPHA:3041	Intellectual disability-balding-patella luxation-acromicria syndrome	Scholte-Begeer-van Essen syndrome							3041	300977	C1866985	C536638
ORPHA:263708	Complex chromosomal rearrangement syndrome								263708		C5680729	
