id	label	synonyms	snomed	doid	nci	icd10	orphanet	umls	mesh
MONDO:0004131	anal verrucous carcinoma	anal Buschke-Lowenstein tumor | anal Buschke-Lowenstein tumour | anal giant (malignant) condyloma		7175	C7470			C1332278	
MONDO:0004132	anal canal squamous cell carcinoma	squamous cell carcinoma of the anal canal		7177	C7469		424019	C1332262	
MONDO:0004133	pituitary gland mixed eosinophil-basophil adenoma	mixed acidophil-basophil adenoma | mixed acidophil-basophil adenoma (morphologic abnormality) | pituitary gland mixed acidophil-basophil adenoma		7179	C4148			C0334312	
MONDO:0004134	benign dermal neurilemmoma	benign dermal schwannoma | benign neurilemmoma of skin | benign neurilemmoma of the skin | benign schwannoma of skin | benign schwannoma of the skin | benign skin neurilemmoma | benign skin schwannoma		7181	C5569			C5686033	
MONDO:0004135	subacute lymphocytic thyroiditis	silent thyroiditis | Subacute painless thyroiditis	361126006	7187	C35829			C1306804	
MONDO:0004136	ovarian endometrioid cystadenoma			7191	C40075			C1518713	
MONDO:0004139	normocytic anemia	anaemia normocytic | anemia normocytic | normocytic Anaemia	300980002	720	C35142			C0085577	
MONDO:0004140	intermediate malignant teratoma	Intermediate immature teratoma | malignant teratoma, intermediate | malignant teratoma, intermediate (morphologic abnormality)		7202	C4288			C0334522	
MONDO:0004141	melanomatosis			7206	C9499				
MONDO:0004142	lung combined large cell neuroendocrine carcinoma	combined large cell lung neuroendocrine carcinoma | combined large cell neuroendocrine carcinoma of lung | combined large cell neuroendocrine carcinoma of the lung | pulmonary combined large cell neuroendocrine carcinoma		7207	C7267			C1333122	
MONDO:0004143	psammomatous meningioma	psammomatous meningioma (morphologic abnormality)		7210	C4331			C0334607	
MONDO:0004144	fibrous meningioma	fibroblastic meningioma | fibrous meningioma (morphologic abnormality)		7211	C4330			C0334606	
MONDO:0004145	meningothelial meningioma	meningothelial meningioma (morphologic abnormality) | Meningotheliomatous meningioma		7212	C4329			C0334605	
MONDO:0004146	transitional meningioma	mixed meningioma | transitional (mixed) meningioma | transitional meningioma (morphologic abnormality)		7213	C4333			C0334611	
MONDO:0004147	noninvasive malignant thymoma	malignant thymoma, noninvasive | thymoma malignant noninvasive		7214	C9080			C0278847	
MONDO:0004148	gallbladder papillary neoplasm with an associated invasive carcinoma	gall bladder papillary carcinoma | gallbladder papillary neoplasm with an associated invasive cancer | intracystic papillary neoplasm with an associated invasive carcinoma | papillary carcinoma of gallbladder | papillary carcinoma of the gallbladder		7221	C5743			C1333753	
MONDO:0004149	gallbladder pleomorphic giant cell adenocarcinoma			7222					
MONDO:0004150	breast giant fibroadenoma	giant adenofibroma of the breast | giant breast fibroadenoma | giant fibroadenoma | giant fibroadenoma of breast | giant fibroadenoma of the breast	254846003	7223	C4273		180267	C0346157	
MONDO:0004151	spinal meninges cancer	cancer of meninx of spinal cord | malignant meninx of spinal cord neoplasm | malignant neoplasm of meninx of spinal cord | malignant neoplasm of spinal meninges | meninx of spinal cord cancer	363476006	7224	C194412	C70.1		C0153647	
MONDO:0004152	chronic lymphocytic leukemia/small lymphocytic lymphoma with immunoglobulin heavy chain variable-region gene somatic hypermutation	CLL/SLL with IGVH SHM | postgerminal center chronic lymphocytic leukemia/small lymphocytic lymphoma | postgerminal centre chronic lymphocytic leukemia/small lymphocytic lymphoma		7230	C37201			C1333037	
MONDO:0004153	childhood central nervous system embryonal carcinoma	childhood CNS embryonal cell carcinoma | childhood embryonal carcinoma of the central nervous system | embryonal carcinoma of childhood central nervous system | embryonal carcinoma of childhood CNS | embryonal carcinoma of paediatric central nervous system | embryonal carcinoma of pediatric central nervous system | embryonal carcinoma of pediatric CNS | embryonal carcinoma of the central nervous system of childhood | embryonal carcinoma of the childhood central nervous system | embryonal carcinoma of the childhood CNS | embryonal carcinoma of the paediatric central nervous system | embryonal carcinoma of the paediatric CNS | embryonal carcinoma of the pediatric central nervous system | embryonal carcinoma of the pediatric CNS | paediatric central nervous system embryonal carcinoma | paediatric embryonal carcinoma of the central nervous system | pediatric central nervous system embryonal carcinoma | pediatric embryonal carcinoma of the central nervous system		7231	C6208			C1377605	
MONDO:0004155	adult central nervous system embryonal carcinoma	adult CNS embryonal carcinoma | adult embryonal carcinoma of the central nervous system | embryonal carcinoma of adult central nervous system | embryonal carcinoma of adult CNS | embryonal carcinoma of the adult central nervous system | embryonal carcinoma of the adult CNS | embryonal carcinoma of the central nervous system of adults		7233	C5790			C1370503	
MONDO:0004156	pancreatic mucinous cystadenocarcinoma	colloid Cystadencarcinoma of pancreas | colloid Cystadencarcinoma of the pancreas | colloidal Cystadencarcinoma of pancreas | colloidal Cystadencarcinoma of the pancreas | mucinous Cystadencarcinoma of pancreas | mucinous Cystadencarcinoma of the pancreas | pancreatic colloid Cystadencarcinoma | pancreatic colloidal Cystadencarcinoma		7234	C5713			C2063873	
MONDO:0004158	pancreatic mucinous-cystic neoplasm with an associated invasive carcinoma	pancreatic mucinous cystic neoplasm with an associated invasive carcinoma		7236	C41246			C1518870	
MONDO:0004159	pancreatic non-invasive mucinous cystadenocarcinoma			7237	C41245			C1266078	
MONDO:0004160	female stress incontinence			724	C35042			C0038437	
MONDO:0004161	uterine corpus apoplectic leiomyoma	uterine corpus hemorrhagic cellular leiomyoma | uterine corpus leiomyoma with apoplectic change		7241	C40165			C1519852	
MONDO:0004162	uterine corpus cellular leiomyoma	body of uterus cellular leiomyoma | cellular leiomyoma of body of uterus		7242	C40163			C1519845	
MONDO:0004163	bladder urachal urothelial carcinoma			7244	C39844			C1511207	
MONDO:0004164	lymphoepithelioma-like acinar prostate adenocarcinoma	acinar prostate adenocarcinoma, lymphoepithelioma-like variant		7246	C39885			C5787176	
MONDO:0004165	selective IgD deficiency disease	selective IgD immunodeficiency	234541006	7263	C27144			C0398695	
MONDO:0004166	hereditary fallopian tube carcinoma	familial fallopian tube carcinoma | hereditary fallopian tube cancer		7266	C40455			C1512418	
MONDO:0004168	cribriform variant testicular seminoma	testicular seminoma, cribriform variant		7269	C40957			C1515292	
MONDO:0004169	premenstrual tension	premenstrual syndrome		727				C0376356	D011293
MONDO:0004170	nodular episcleritis		70558001	728		H15.12		C0155352	
MONDO:0004172	uterine corpus adenocarcinofibroma	adenocarcinofibroma of body of uterus | body of uterus adenocarcinofibroma		7281					
MONDO:0004173	adenocarcinoma of skene gland origin	adenocarcinoma of Skene gland | carcinoma of paraurethral gland | carcinoma of Skene gland | carcinoma of Skene's gland | paraurethral gland adenocarcinoma | paraurethral gland carcinoma		7284	C39863			C1527427	
MONDO:0004174	secretory uterine corpus endometrioid adenocarcinoma	endometrial endometrioid adenocarcinoma, secretory variant		7289	C27839			C1266057	
MONDO:0004175	mucin-rich endometrial endometrioid adenocarcinoma			7293	C8717			C1513711	
